id,tvt,title,gid
100023662,1892733680558,Tarot Curse,MV025046940000
312423,1873611289575,Out of Time,MV001405540000
610583,1870523505437,Run All Night,MV005521020000
100026607,1847361491036,Damaged,MV022221900000
100023901,1841530488819,Don't Mess With Grandma,MV023724430000
100013735,1828631081320,Left Behind,MV005841350000
100033617,1827879465144,The Candy Store,
100029336,1824388854536,Crescent City,MV022399530000
100014729,1822473094069,How Do You Know,MV003233610000
100012524,1821402239516,Papillon,MV000040990000
100028640,1819321114977,Death Wish,MV010125660000
535767,1806825033598,Mockingbird Don't Sing,MV001237110000
694142,1770986111835,Blood and Bone,MV002608320000
100033521,1769133611050,Wrong Address,MV025142270000
100033349,1756769903533,Kingdom Reign,MV025203260000
100029474,1741499248083,Killer Elite,MV003630160000
100032303,1726138581024,Dear John,MV002618740000
342067,1712634764095,Zapped,MV005724360000
708829,1709953944067,The Stepmother 2,MV019235380000
303092,1695235208358,Walking Tall,MV001473160000
100024326,1684355041151,Ten Toes Down,
394073,1661301128227,Baby Boom,MV000234930000
372440,1658622526278,A Turtle's Tale: Sammy's Adventures,MV003506780000
100033569,1653113387443,They Whisper,MV022941780000
100033534,1652139405200,The Broker,
100025374,1630874620926,"Mommy, I Didn't Do It",MV009632750000
100016189,1630288185169,Honest Thief,MV013072000000
100032268,1617890436006,Mistress for Hire,MV024981540000
100033316,1612232000001,The Wolf and the Lion,MV017517610000
100031793,1601188005527,Limitless,MV003267340000
473244,1597610413308,Falcon Rising,MV005964840000
625472,1594396035847,Angel Eyes,MV001079220000
100006891,1593893610393,The Foreigner,MV009047120000
493952,1586626619215,Stranger Than Fiction,MV001775540000
589161,1579250377161,Class Act,MV000331280000
100031152,1555174364661,The Legend of Doc Mays,MV025089070000
693688,1535308205926,Letters to Juliet,MV002664580000
100033079,1532108603482,Royal Bloodline,MV025234120000
589594,1531193196478,The Phantom of the Opera,MV001531960000
555995,1514323594023,El Rostro Impenetrable (Doblado),MV005543970000
100033590,1508693088808,Vivarium,MV013761830000
100032378,1479020670712,Him,MV025351150000
100019493,1467018660872,Lowlifes,MV021925290000
100033186,1460383775928,Uncut Gems,MV013006580000
100033059,1459720650012,Fatal Affair,
100034566,1458735654349,Control Freak,MV025335440000
563164,1449656742804,White Men Can't Jump,MV000348330000
334155,1437216805941,Igor,MV001991550000
100032650,1425039225916,The City God Forgot,MV025225160000
305389,1381540927208,Dirty Dancing: Havana Nights,MV001448490000
100028923,1371757272888,The Stepdaughter 2,MV022953250000
463228,1361884374677,Black Coffee,MV005383470000
641488,1332962958735,Meet the Blacks,MV008653010000
100004841,1331690281374,The Stepmother 3,MV020258150000
571072,1326172864635,Double Platinum,MV000715620000
100029722,1321378939415,TMZ Presents: The Downfall of Diddy Inside the Freak-Offs,SH053400260000
100032273,1311109629433,Bruised 2,MV025193450000
699179,1299589583912,Cool Hand Luke,MV000022760000
475643,1285657777496,Stargate,MV000407010000
609347,1279985390772,To Hell and Back,MV007327950000
100031030,1274212766576,My Struggle,MV024780830000
100029093,1270572469155,Outlaw Johnny Black,MV020167890000
604500,1260221715040,Wargames,
100028458,1257808943566,Max 2: White House Hero,MV009934740000
696806,1256733669212,A Walk to Remember,MV001181320000
581945,1247513215791,Why Do Fools Fall in Love?,MV000615790000
401469,1246099930056,Soul Plane,MV001511610000
438117,1236415221536,Child's Play (1988),MV000259710000
100031789,1229925184646,Mirrored Lives,MV025225920000
670507,1226390618344,So I Married an Axe Murderer,MV000371620000
552216,1226107105126,Get the Gringo,MV003909120000
611824,1203446633639,Luis and the Aliens,MV011637860000
100032407,1199517451390,The Waterboyz,MV022558110000
100020269,1193218611387,Amazing Grace,MV012070500000
582022,1192000492896,South Central,MV000356860000
672266,1187585341364,Hostiles,MV010456770000
100032628,1173105702736,Simulant,MV020005870000
100032400,1162210372717,Operation Blood Hunt,MV022728350000
100029082,1156569724002,Cats,MV012251920000
465328,1145780656953,Redemption,MV004849780000
493084,1137076145275,Life on the Line,MV009025200000
625446,1132566719538,Driven,MV001066090000
617292,1131164722957,Butch Cassidy and the Sundance Kid,MV000006560000
543757,1124023728040,Judgement Day,MV002805440000
100012559,1099100172077,A Gospel Christmas,MV017309620000
461827,1097561140135,The Burning Plain,MV002435540000
100027256,1095709567119,Hang 'Em High,MV000036020000
100022396,1092314336020,A Kill for a Kill,MV023876670000
342037,1085983798417,A Second Chance,MV005401070000
100029085,1084755954215,The Devil Conspiracy,MV019479620000
100030292,1081080848160,Southside Vengeance,MV023010520000
464400,1079384241772,A Turtle's Tale 2: Sammy's Escape From Paradise,MV004740500000
707477,1078174494470,Replicas,MV010905120000
100004259,1068746567727,Empire State (Español),MV005721370000
494842,1062629449950,Shottas,MV001274580000
534016,1050526932587,Monster's Ball,MV001154420000
100000038,1044980251155,Dirty Dancing: Television Special,MV009726820000
622110,1043139506226,It Can Be Done Amigo,MV000112400000
100008603,1039662777398,Twilight (Español),MV002278600000
310151,1036232611972,Sleepover,MV001498240000
100020420,1023967281128,The Seeds,MV022085960000
488448,1018917875984,American History X,MV000649450000
100020085,1011777123599,Snatched,MV021925300000
100005334,1007805837763,DC Down,MV020279260000
713616,994088182400,Bruised,MV019789140000
702003,986312553902,I Think We're Alone Now,MV011808180000
100016659,985755794682,Precious,MV003435130000
100030367,982387828360,Terra Willy,MV014282610000
720990,973621927801,Til Death Do Us Part,MV010223280000
100028628,972779227958,Ben-Hur,MV001710380000
100033326,969626172997,A Piece of the Action,MV000044620000
100029637,969550397318,Deeper,MV023938990000
326992,959176521538,New In Town,MV002323300000
312182,958070288256,Jason's Lyric,MV000405660000
680675,957419239721,Machete (Doblado),MV002806650000
100029595,957358728715,"First Comes Love, Then Comes Murder",MV020365200000
348447,953375173981,Eve's Bayou,MV000520890000
310134,951703156588,Hoodlum,MV000520650000
100028732,947146145025,The Bye Bye Man,MV008686260000
100032592,942095606084,Escape From Germany,MV021683590000
466545,931039962635,Man From Earth: Holocene,MV010374700000
633228,930263142284,My Super Ex-Girlfriend,MV001776850000
100020628,928207656066,TMZ Presents: The Downfall of Diddy,SH051185380000
100032907,918229567733,Can You Keep a Secret?,MV012871120000
100020739,916133126279,The Landlord,MV022125980000
100028128,911583681439,Under the Influence,MV019826270000
543161,905768410419,Apocalypto,MV001818990000
100014686,905091123233,Entre Primas Se Arrima,
100021663,903673961132,Warhorse One,MV020235330000
565416,898516027482,Damage,MV002763700000
100033051,895352547727,Street Queens,MV025234040000
100032236,889813155209,Soldado Anónimo 2: Terreno Peligroso (Doblado),MV006284860000
549664,887715222550,Alabama Moon,MV002671490000
